Customer_ID,Age,Gender,Location,Annual_Income,Total_Purchases,Total_Spending,Average_Order_Value,Purchase_Frequency,Recency,Product_Category,Online_Orders
C0052,18,Male,Chennai,47840.79,7,9151.35,1307.34,7,73,Fashion,2
C0053,38,Female,Hyderabad,74821.44,18,21231.44,1179.52,18,58,Fashion,6
C0054,43,Female,Chennai,58259.75,9,8298.33,922.04,9,58,Fashion,3
C0055,53,Male,Chennai,30146.5,6,2309.01,384.84,6,118,Fashion,1
C0056,57,Female,Hyderabad,67424.57,12,9243.49,770.29,12,85,Grocery,0
C0057,44,Male,Chennai,95223.47,19,21434.18,1128.11,19,15,Grocery,7
C0058,33,Male,Hyderabad,51041.45,14,8978.35,641.31,14,54,Home,1
C0059,27,Female,Bengaluru,44767.62,6,2119.87,353.31,6,114,Home,0
C0060,40,Female,Mumbai,48743.61,9,12175.05,1352.78,9,100,Home,1
C0061,42,Male,Mumbai,92459.62,20,17075.48,853.77,20,20,Electronics,6
C0062,46,Male,Delhi,51700.36,11,4909.89,446.35,11,60,Fashion,3
C0063,32,Male,Chennai,27305.32,6,3141.88,523.65,6,122,Electronics,0
C0064,28,Female,Hyderabad,66420.33,8,9974.39,1246.8,8,45,Electronics,6
C0065,31,Female,Chennai,92502.16,21,15826.36,753.64,21,6,Electronics,8
C0066,34,Male,Hyderabad,51693.96,10,7114.49,711.45,10,65,Electronics,5
C0067,35,Female,Chennai,33652.48,2,2953.56,1476.78,2,102,Fashion,2
C0068,72,Female,Bengaluru,62858.71,10,10182.53,1018.25,10,66,Grocery,4
C0069,39,Female,Delhi,75733.77,20,16056.23,802.81,20,28,Fashion,8
C0070,49,Female,Chennai,55598.59,13,9765.31,751.18,13,74,Home,5
C0071,45,Male,Bengaluru,28367.63,6,2225.31,370.88,6,101,Grocery,1
C0072,44,Female,Delhi,60269.59,8,8462.19,1057.77,8,82,Grocery,0
C0073,47,Male,Mumbai,78249.28,22,15854.5,720.66,22,2,Home,8
C0074,23,Male,Mumbai,57697.79,13,6498.02,499.85,13,56,Electronics,3
C0075,28,Female,Mumbai,38845.59,8,2975.14,371.89,8,102,Home,0
C0076,49,Male,Bengaluru,48424.41,9,8969.43,996.6,9,79,Home,3
C0077,32,Female,Mumbai,97358.79,18,18514.45,1028.58,18,25,Fashion,7
C0078,34,Female,Hyderabad,47780.2,9,6620.06,735.56,9,54,Electronics,3
C0079,37,Male,Bengaluru,30890.53,7,3219.91,459.99,7,98,Fashion,0
C0080,29,Male,Hyderabad,67579.64,7,10844.42,1549.2,7,62,Grocery,5
C0081,44,Male,Chennai,73400.93,20,17291.11,864.56,20,1,Grocery,5
C0082,51,Male,Bengaluru,40071.71,13,6055.32,465.79,13,67,Electronics,5
C0083,70,Female,Bengaluru,31856.15,3,3214.62,1071.54,3,106,Fashion,3
C0084,36,Non-binary,Bengaluru,69572.17,11,8786.63,798.78,11,55,Home,5
C0085,32,Non-binary,Mumbai,71809.42,23,21898.79,952.12,23,1,Electronics,6
C0086,47,Male,Mumbai,62674.43,9,10093.38,1121.49,9,50,Fashion,4
C0087,18,Female,Hyderabad,27829.44,2,2891.17,1445.59,2,110,Fashion,0
C0088,54,Female,Delhi,74738.34,7,10756.36,1536.62,7,88,Grocery,7
C0089,43,Female,Bengaluru,97964.85,18,22301.86,1238.99,18,34,Electronics,9
C0090,39,Male,Hyderabad,58926.32,9,5535.8,615.09,9,62,Grocery,3
C0091,50,Male,Mumbai,28460.23,3,3186.41,1062.14,3,114,Fashion,2
C0092,45,Female,Bengaluru,58077.67,7,7578.03,1082.58,7,62,Home,4
C0093,28,Female,Delhi,88482.5,22,23641.25,1074.6,22,5,Fashion,8
C0094,41,Male,Mumbai,51851.68,10,7353.29,735.33,10,44,Fashion,5
C0095,55,Female,Hyderabad,26162.37,5,2319.26,463.85,5,102,Fashion,5
C0096,30,Female,Bengaluru,64312.11,9,10333.75,1148.19,9,78,Fashion,0
C0097,45,Female,Hyderabad,75732.58,20,16542.92,827.15,20,11,Grocery,8
C0098,35,Female,Delhi,50764.3,9,7189.56,798.84,9,65,Electronics,6
C0099,23,Female,Bengaluru,24223.18,5,2593.47,518.69,5,122,Electronics,0
C0100,24,Male,Mumbai,69295.87,5,8235.96,1647.19,5,88,Fashion,3
C0101,52,Male,Chennai,88235.01,21,16127.0,767.95,21,5,Electronics,8
C0102,35,Male,Mumbai,51285.89,9,7225.9,802.88,9,44,Fashion,1
C0103,43,Male,Bengaluru,35893.46,4,2490.25,622.56,4,92,Electronics,0
C0104,38,Female,Chennai,56536.97,8,10050.83,1256.35,8,87,Grocery,2
C0105,41,Male,Hyderabad,98421.0,19,15243.24,802.28,19,14,Fashion,7
C0106,32,Male,Hyderabad,65116.45,10,8486.9,848.69,10,57,Home,3
C0107,42,Male,Chennai,32333.07,2,3183.9,1591.95,2,103,Fashion,1
C0108,65,Female,Delhi,73636.02,6,9242.23,1540.37,6,68,Electronics,6
C0109,37,Male,Mumbai,79142.62,22,14255.43,647.97,22,28,Electronics,4
C0110,44,Female,Hyderabad,58005.34,11,8257.66,750.7,11,54,Fashion,3
C0111,18,Female,Bengaluru,38546.38,6,2676.78,446.13,6,110,Home,2
C0112,27,Female,Hyderabad,52473.87,9,10415.74,1157.3,9,74,Fashion,0
C0113,36,Male,Bengaluru,91017.64,25,25489.0,1019.56,25,10,Grocery,5
C0114,35,Male,Delhi,37981.01,9,7241.82,804.65,9,71,Grocery,4
C0115,25,Male,Hyderabad,36008.36,3,1930.13,643.38,3,123,Home,0
C0116,29,Male,Delhi,57419.82,10,9638.53,963.85,10,100,Electronics,0
C0117,29,Male,Hyderabad,69919.56,22,19058.37,866.29,22,6,Grocery,7
C0118,45,Male,Chennai,57032.29,12,8912.37,742.7,12,66,Grocery,0
C0119,32,Female,Hyderabad,28877.5,1,2247.17,2247.17,1,113,Grocery,0
C0120,46,Female,Hyderabad,66837.15,5,9348.74,1869.75,5,87,Home,5
C0121,34,Female,Delhi,91790.08,21,13382.79,637.28,21,12,Fashion,4
C0122,43,Male,Bengaluru,50896.28,11,5954.55,541.32,11,56,Electronics,2
C0123,31,Male,Chennai,36280.04,7,2414.71,344.96,7,123,Fashion,0
C0124,42,Non-binary,Delhi,70214.45,7,8227.35,1175.34,7,102,Fashion,4
C0125,52,Male,Hyderabad,67407.05,22,16745.36,761.15,22,17,Electronics,9
C0126,27,Female,Chennai,48468.36,6,5904.92,984.15,6,55,Electronics,3
C0127,42,Female,Delhi,32910.25,7,2452.45,350.35,7,95,Home,1
C0128,37,Female,Chennai,83147.54,10,7823.95,782.4,10,96,Home,6
C0129,18,Male,Mumbai,80925.53,23,15100.68,656.55,23,14,Fashion,9
C0130,32,Female,Bengaluru,52377.54,13,7400.08,569.24,13,38,Electronics,0
C0131,41,Female,Bengaluru,35971.41,1,2457.17,2457.17,1,119,Electronics,0
C0132,41,Male,Hyderabad,79030.05,5,10907.54,2181.51,5,80,Electronics,3
C0133,40,Male,Chennai,99543.59,20,18465.68,923.28,20,19,Home,6
C0134,18,Female,Delhi,68315.29,11,7920.65,720.06,11,60,Electronics,2
C0135,30,Male,Mumbai,35032.45,5,2305.47,461.09,5,90,Electronics,0
C0136,57,Male,Hyderabad,62842.02,6,10686.92,1781.15,6,80,Fashion,4
C0137,39,Non-binary,Hyderabad,108471.44,24,20205.44,841.89,24,19,Grocery,9
C0138,26,Female,Mumbai,55217.97,12,7772.06,647.67,12,75,Home,5
C0139,48,Female,Mumbai,28383.51,5,2481.49,496.3,5,115,Fashion,0
C0140,47,Female,Hyderabad,69356.24,9,11276.01,1252.89,9,66,Grocery,4
C0141,20,Male,Hyderabad,96788.72,25,22775.17,911.01,25,23,Electronics,7
C0142,37,Male,Mumbai,42572.58,10,7727.74,772.77,10,60,Electronics,3
C0143,53,Male,Chennai,38694.6,5,2726.01,545.2,5,120,Fashion,1
C0144,45,Female,Delhi,42827.81,5,7544.57,1508.91,5,77,Electronics,4
C0145,18,Male,Hyderabad,70009.81,21,17077.16,813.2,21,25,Grocery,6
C0146,39,Male,Delhi,51434.81,12,9344.6,778.72,12,69,Home,0
C0147,20,Male,Mumbai,32674.71,4,1695.75,423.94,4,125,Electronics,2
C0148,39,Female,Delhi,60259.21,15,9267.95,617.86,15,85,Grocery,4
C0149,47,Male,Mumbai,89437.05,20,11598.06,579.9,20,1,Electronics,6
C0150,18,Male,Bengaluru,55080.69,7,7022.23,1003.18,7,58,Home,4
C0151,24,Male,Mumbai,32673.56,6,2691.65,448.61,6,113,Grocery,0
C0152,66,Female,Delhi,70292.92,8,8535.5,1066.94,8,80,Electronics,4
C0153,40,Female,Mumbai,84237.77,21,18220.41,867.64,21,36,Grocery,7
C0154,30,Female,Mumbai,53679.76,10,6884.38,688.44,10,69,Electronics,4
C0155,38,Male,Delhi,34422.35,4,2858.13,714.53,4,119,Fashion,3
C0156,37,Female,Bengaluru,67036.29,8,7642.52,955.32,8,83,Grocery,7
C0157,18,Male,Mumbai,82591.36,23,18473.35,803.19,23,5,Electronics,9
C0158,21,Female,Bengaluru,59719.9,14,7016.31,501.16,14,54,Grocery,1
C0159,18,Male,Delhi,42058.74,2,2601.96,1300.98,2,108,Grocery,0
C0160,34,Male,Hyderabad,54784.43,7,7117.07,1016.72,7,80,Electronics,5
C0161,39,Female,Chennai,86916.57,22,22877.33,1039.88,22,27,Grocery,8
C0162,41,Male,Hyderabad,62146.08,15,8307.72,553.85,15,77,Grocery,3
C0163,41,Female,Delhi,39741.36,5,2509.16,501.83,5,96,Grocery,1
C0164,37,Male,Chennai,55035.49,8,10627.51,1328.44,8,75,Home,2
C0165,24,Male,Delhi,67522.52,26,10995.69,422.91,26,27,Home,12
C0166,22,Female,Bengaluru,53403.17,12,8674.08,722.84,12,46,Home,1
C0167,32,Female,Hyderabad,27566.3,3,2233.1,744.37,3,115,Fashion,3
C0168,27,Male,Hyderabad,67404.24,8,8698.02,1087.25,8,78,Grocery,5
C0169,57,Male,Mumbai,99975.6,22,20596.5,936.2,22,15,Fashion,9
C0170,48,Male,Delhi,51703.16,13,7736.01,595.08,13,44,Grocery,2
C0171,27,Female,Delhi,41383.55,1,1389.48,1389.48,1,97,Home,0
C0172,48,Male,Bengaluru,74853.71,12,6921.14,576.76,12,76,Fashion,4
C0173,50,Female,Chennai,83076.65,22,19203.77,872.9,22,31,Fashion,9
C0174,34,Male,Hyderabad,67097.29,7,8158.24,1165.46,7,61,Grocery,2
C0175,38,Male,Hyderabad,32919.29,4,2525.56,631.39,4,104,Fashion,0
C0176,34,Male,Mumbai,79333.29,9,7873.05,874.78,9,66,Electronics,3
C0177,48,Female,Delhi,84338.83,20,15342.29,767.11,20,42,Home,11
C0178,18,Female,Delhi,43626.63,8,7495.02,936.88,8,63,Electronics,2
C0179,60,Female,Chennai,38169.61,4,2596.27,649.07,4,125,Grocery,1
C0180,41,Male,Bengaluru,61527.44,8,11828.2,1478.53,8,86,Fashion,2
C0181,36,Male,Bengaluru,93824.31,25,19613.67,784.55,25,6,Fashion,10
C0182,39,Female,Delhi,55722.39,14,9582.77,684.48,14,50,Home,2
C0183,37,Male,Mumbai,31989.31,6,2293.8,382.3,6,96,Electronics,1
C0184,20,Male,Delhi,69080.74,10,7901.3,790.13,10,83,Electronics,1
C0185,34,Male,Delhi,90852.71,22,15307.62,695.8,22,13,Home,11
C0186,50,Male,Bengaluru,52018.09,12,5989.08,499.09,12,59,Home,4
C0187,32,Male,Bengaluru,36838.37,4,2986.47,746.62,4,116,Grocery,0
C0188,37,Male,Hyderabad,64686.34,8,6360.56,795.07,8,92,Home,7
C0189,59,Male,Chennai,82691.09,22,20854.13,947.92,22,24,Grocery,6
C0190,44,Female,Chennai,64192.71,13,8127.45,625.19,13,72,Electronics,4
C0191,32,Female,Bengaluru,44483.99,7,2655.22,379.32,7,82,Electronics,1
C0192,48,Male,Bengaluru,64263.79,6,8705.15,1450.86,6,79,Electronics,4
C0193,35,Female,Delhi,70084.77,24,15993.9,666.41,24,16,Fashion,8
C0194,32,Male,Delhi,55852.42,14,8146.83,581.92,14,41,Grocery,2
C0195,32,Female,Chennai,39663.78,2,1910.23,955.12,2,106,Grocery,1
C0196,35,Female,Bengaluru,58191.34,6,8551.89,1425.31,6,78,Electronics,2
C0197,42,Female,Mumbai,103510.55,23,18901.19,821.79,23,11,Home,9
C0198,33,Female,Chennai,47595.31,11,8775.81,797.8,11,42,Grocery,2
C0199,47,Male,Delhi,37653.24,7,2470.4,352.91,7,121,Home,0
C0200,50,Female,Hyderabad,65718.78,5,7079.17,1415.83,5,53,Fashion,5
C0201,45,Male,Bengaluru,84217.03,21,12298.22,585.63,21,23,Fashion,6
C0202,54,Male,Chennai,62437.7,14,7130.11,509.29,14,48,Home,3
C0203,42,Female,Mumbai,32885.95,5,2576.26,515.25,5,108,Fashion,0
C0204,19,Male,Hyderabad,66742.0,6,10073.4,1678.9,6,85,Electronics,4
C0205,33,Non-binary,Mumbai,93799.45,22,22191.31,1008.7,22,41,Fashion,12
C0206,58,Male,Mumbai,55816.93,12,9069.8,755.82,12,54,Home,4
C0207,40,Female,Mumbai,36179.47,6,1718.0,286.33,6,105,Home,0
C0208,44,Female,Mumbai,70507.31,7,6260.26,894.32,7,75,Electronics,2
C0209,30,Male,Mumbai,101698.99,18,12600.13,700.01,18,29,Grocery,6
C0210,22,Male,Hyderabad,45200.82,10,6078.11,607.81,10,67,Grocery,4
C0211,27,Female,Mumbai,25647.06,3,2763.02,921.01,3,127,Grocery,0
C0212,49,Female,Mumbai,95066.36,8,8740.54,1092.57,8,100,Fashion,5
C0213,20,Male,Bengaluru,95399.63,20,19259.49,962.97,20,16,Grocery,9
C0214,42,Female,Mumbai,42751.11,13,6251.65,480.9,13,60,Electronics,2
C0215,59,Female,Hyderabad,27409.41,9,1560.32,173.37,9,94,Fashion,0
C0216,31,Male,Mumbai,71557.67,8,5405.66,675.71,8,83,Electronics,3
C0217,40,Female,Bengaluru,96698.33,19,12842.73,675.93,19,6,Fashion,9
C0218,47,Male,Mumbai,55109.99,11,7657.01,696.09,11,59,Fashion,1
C0219,58,Female,Hyderabad,40253.29,4,2612.88,653.22,4,118,Fashion,0
C0220,42,Female,Hyderabad,66288.44,5,8619.34,1723.87,5,75,Grocery,2
C0221,37,Male,Bengaluru,66754.5,24,23631.54,984.65,24,4,Fashion,8
C0222,39,Male,Bengaluru,40148.0,15,7008.59,467.24,15,80,Grocery,5
C0223,49,Female,Chennai,26599.64,4,2847.13,711.78,4,129,Fashion,1
C0224,31,Male,Mumbai,51311.82,8,9976.42,1247.05,8,87,Home,1
C0225,33,Female,Bengaluru,87843.98,20,24269.06,1213.45,20,38,Home,6
C0226,34,Male,Hyderabad,45499.21,10,6881.08,688.11,10,51,Grocery,2
C0227,55,Male,Chennai,43724.52,5,2445.91,489.18,5,126,Home,0
C0228,47,Female,Mumbai,62406.71,6,9775.32,1629.22,6,81,Electronics,3
C0229,34,Male,Mumbai,62387.01,22,16628.05,755.82,22,15,Home,9
C0230,48,Male,Bengaluru,52473.7,12,8474.15,706.18,12,40,Fashion,5
C0231,49,Male,Chennai,37401.74,5,1818.98,363.8,5,109,Grocery,1
C0232,28,Male,Delhi,64628.96,6,12396.19,2066.03,6,73,Home,6
C0233,22,Male,Bengaluru,114561.06,19,25463.73,1340.2,19,17,Electronics,5
C0234,47,Male,Delhi,45067.49,10,6841.24,684.12,10,65,Home,8
C0235,42,Female,Hyderabad,38607.2,6,3175.34,529.22,6,76,Home,0
C0236,42,Male,Mumbai,64374.04,12,10653.09,887.76,12,42,Fashion,7
C0237,55,Male,Chennai,77902.36,22,15668.54,712.21,22,30,Grocery,4
C0238,39,Female,Bengaluru,53491.45,13,5558.84,427.6,13,50,Home,3
C0239,54,Female,Hyderabad,40290.37,7,2631.26,375.89,7,98,Grocery,1
C0240,44,Male,Chennai,51354.05,6,9480.21,1580.04,6,90,Grocery,2
C0241,34,Male,Bengaluru,86130.36,20,17819.73,890.99,20,11,Electronics,6
C0242,32,Male,Hyderabad,66500.0,14,7605.61,543.26,14,40,Electronics,3
C0243,32,Male,Delhi,32289.16,3,2728.95,909.65,3,113,Fashion,3
C0244,33,Female,Bengaluru,78688.93,5,8089.44,1617.89,5,86,Fashion,4
C0245,42,Female,Delhi,70075.54,19,18240.02,960.0,19,24,Electronics,7
C0246,31,Male,Hyderabad,39968.42,13,6646.66,511.28,13,46,Fashion,0
C0247,46,Male,Chennai,34464.95,4,1716.49,429.12,4,108,Grocery,0
C0248,67,Male,Hyderabad,55617.09,10,7784.26,778.43,10,70,Electronics,3
C0249,41,Female,Mumbai,74816.96,19,19720.53,1037.92,19,17,Electronics,7
C0250,28,Female,Mumbai,58730.82,14,7348.84,524.92,14,71,Fashion,4
C0251,28,Male,Chennai,36252.5,3,3020.33,1006.78,3,132,Electronics,2
C0252,40,Male,Hyderabad,64187.57,8,11452.89,1431.61,8,69,Fashion,3
C0253,45,Male,Bengaluru,53513.4,20,24227.88,1211.39,20,36,Grocery,3
C0254,25,Non-binary,Delhi,37407.98,12,10096.6,841.38,12,57,Electronics,3
C0255,33,Male,Bengaluru,28688.06,4,2757.67,689.42,4,82,Grocery,0
C0256,46,Male,Delhi,63960.73,8,11493.31,1436.66,8,83,Grocery,3
C0257,18,Female,Chennai,69047.8,20,19218.83,960.94,20,27,Grocery,7
C0258,46,Male,Bengaluru,56270.78,10,8418.85,841.88,10,33,Fashion,6
C0259,27,Female,Chennai,36899.35,5,3361.19,672.24,5,119,Grocery,0
C0260,34,Female,Chennai,80061.67,14,7940.42,567.17,14,84,Home,4
C0261,32,Male,Chennai,98634.16,26,13952.91,536.65,26,21,Electronics,8
C0262,41,Male,Chennai,52053.15,12,7103.73,591.98,12,50,Electronics,4
C0263,50,Female,Hyderabad,33294.38,5,2725.64,545.13,5,131,Electronics,0
C0264,40,Male,Delhi,60894.94,11,11220.1,1020.01,11,97,Home,4
C0265,45,Male,Delhi,114189.2,22,16080.98,730.95,22,27,Grocery,6
C0266,27,Female,Bengaluru,35032.33,10,5851.96,585.2,10,72,Fashion,1
C0267,38,Female,Bengaluru,40516.23,2,2223.7,1111.85,2,94,Fashion,0
C0268,29,Female,Hyderabad,70849.89,9,7308.34,812.04,9,88,Home,4
C0269,38,Female,Delhi,96344.27,22,18540.17,842.74,22,20,Electronics,9
C0270,29,Female,Hyderabad,67022.59,7,10252.82,1464.69,7,38,Home,2
C0271,56,Female,Bengaluru,37688.7,4,3719.4,929.85,4,112,Home,0
C0272,19,Female,Bengaluru,60659.2,10,10108.72,1010.87,10,83,Grocery,5
C0273,43,Non-binary,Hyderabad,68458.2,21,16088.46,766.12,21,22,Fashion,7
C0274,44,Male,Delhi,56533.64,13,6762.4,520.18,13,66,Fashion,2
C0275,38,Male,Bengaluru,31385.81,5,2417.11,483.42,5,78,Grocery,3
C0276,55,Female,Bengaluru,75938.46,5,11025.48,2205.1,5,66,Home,4
C0277,44,Female,Mumbai,81997.51,23,20612.07,896.18,23,22,Electronics,7
C0278,39,Male,Hyderabad,52683.54,11,7053.92,641.27,11,69,Electronics,1
C0279,37,Male,Mumbai,24310.86,3,2360.21,786.74,3,113,Fashion,0
C0280,39,Male,Chennai,77138.54,6,9223.45,1537.24,6,87,Fashion,3
C0281,46,Male,Bengaluru,84818.98,23,16675.59,725.03,23,12,Fashion,7
C0282,49,Male,Delhi,67764.1,10,9959.19,995.92,10,53,Fashion,2
C0283,27,Male,Delhi,34167.76,8,2975.74,371.97,8,106,Fashion,0
C0284,28,Male,Delhi,63377.42,8,11075.8,1384.48,8,92,Grocery,4
C0285,46,Female,Chennai,70009.4,21,23115.32,1100.73,21,17,Grocery,11
C0286,29,Female,Delhi,59937.51,13,9885.02,760.39,13,32,Electronics,3
C0287,44,Female,Hyderabad,38070.84,4,2359.42,589.86,4,102,Home,0
C0288,37,Female,Chennai,62299.95,3,10133.12,3377.71,3,103,Grocery,3
C0289,18,Female,Mumbai,84246.92,19,16562.31,871.7,19,32,Electronics,7
C0290,40,Male,Delhi,45639.61,15,7203.23,480.22,15,47,Grocery,5
C0291,41,Male,Mumbai,36560.37,4,1862.88,465.72,4,111,Electronics,0
C0292,27,Male,Bengaluru,38943.62,9,6943.81,771.53,9,71,Grocery,4
C0293,21,Male,Mumbai,86104.73,21,16215.47,772.17,21,24,Home,4
C0294,47,Female,Delhi,52949.81,13,9216.45,708.96,13,28,Electronics,1
C0295,20,Male,Delhi,41098.42,5,2136.1,427.22,5,104,Electronics,0
C0296,41,Male,Bengaluru,60881.04,10,7634.35,763.43,10,91,Home,5
C0297,32,Female,Hyderabad,81135.92,20,16265.02,813.25,20,11,Home,6
C0298,34,Male,Delhi,44468.37,13,3779.55,290.73,13,61,Electronics,3
C0299,44,Male,Chennai,40259.42,8,2305.74,288.22,8,117,Home,3
C0300,39,Female,Hyderabad,39375.49,9,10308.92,1145.44,9,86,Fashion,3
C0301,57,Male,Hyderabad,69828.53,21,18720.21,891.44,21,30,Electronics,8
C0302,46,Female,Bengaluru,50398.47,12,7820.52,651.71,12,65,Home,3
C0303,46,Male,Delhi,34160.15,6,2785.81,464.3,6,107,Electronics,2
C0304,38,Male,Delhi,71623.73,8,9649.18,1206.15,8,74,Electronics,4
C0305,27,Female,Mumbai,82603.48,22,17515.97,796.18,22,18,Fashion,7
C0306,21,Non-binary,Chennai,38818.95,16,6985.67,436.6,16,62,Home,2
C0307,49,Male,Bengaluru,30520.65,5,2610.76,522.15,5,84,Home,3
C0308,50,Male,Bengaluru,80651.88,5,10361.33,2072.27,5,66,Grocery,5
C0309,47,Male,Chennai,61083.06,24,13926.4,580.27,24,42,Home,9
C0310,58,Male,Mumbai,50194.06,12,7204.19,600.35,12,53,Fashion,3
C0311,62,Male,Delhi,38639.05,3,2785.22,928.41,3,140,Grocery,0
C0312,36,Male,Bengaluru,66997.93,4,4877.7,1219.42,4,95,Grocery,1
C0313,23,Male,Bengaluru,74675.71,21,23695.45,1128.35,21,22,Grocery,4
C0314,52,Male,Bengaluru,44722.4,10,6907.61,690.76,10,71,Grocery,2
C0315,26,Male,Mumbai,29755.63,7,1901.54,271.65,7,110,Home,0
C0316,59,Male,Delhi,65815.1,9,9346.15,1038.46,9,66,Electronics,5
C0317,56,Female,Bengaluru,89940.48,21,15345.03,730.72,21,30,Home,9
C0318,42,Female,Mumbai,45860.56,9,9750.14,1083.35,9,48,Fashion,3
C0319,41,Male,Mumbai,40123.68,9,2726.19,302.91,9,105,Grocery,0
C0320,31,Female,Mumbai,61110.12,3,8958.56,2986.19,3,78,Fashion,3
C0321,51,Female,Bengaluru,76626.72,18,18422.89,1023.49,18,32,Home,11
C0322,58,Male,Mumbai,56294.02,10,7513.25,751.32,10,73,Electronics,4
C0323,30,Female,Chennai,35261.93,4,3049.91,762.48,4,114,Electronics,1
C0324,19,Female,Chennai,57778.85,7,6575.5,939.36,7,75,Fashion,5
C0325,35,Female,Bengaluru,79175.06,19,20981.26,1104.28,19,34,Electronics,6
C0326,50,Female,Chennai,56553.64,10,7063.53,706.35,10,70,Fashion,2
C0327,64,Male,Hyderabad,36746.58,6,3100.09,516.68,6,71,Home,1
C0328,29,Female,Mumbai,64846.26,7,7614.95,1087.85,7,74,Home,4
C0329,55,Male,Chennai,80135.09,23,17730.05,770.87,23,18,Fashion,2
